Bruxelles  Ville- Département / Stad Brussel - Departement;Type de marché (Travaux, fournitures, services - objet du marché - procédure de passation);Type opdracht  (werken, leveringen, diensten - voorwerp van de opdracht - plaatsingsprocedure);Date du marché - Datum van de opdracht;Bénéficiaires (opérateur économique à qui le marché a été attribué) / Begunstigden  (onderneming aan wie de opdracht werd toegewezen);Montant engagé TVAC / vastgelegd bedrag btwi
Affaires économiques / Economische zaken;"Marchés : 
Travaux :  Installation Boitier électrique provisoires pour l'édition 2019 de l'évènement du Sablon Design market sur la Place du Sablon. - Accepté par simple facture";"Markten : 
Werken: Installatie van een tijdelijke elektriciteitskast voor de editie 2019 van de  Design Zavelmarkt op de Grote Zavel. - Aanvaarding door eenvoudige factuur";29/08/2019;Sibelga;1.707,15
Patrimoine publique / Openbare patrimonium;Constuction d'un préau au Jardin Laneau - Procédure négociée sans publication préalable - Marché de travaux;Opdracht voor werken - Vervaardiging van een overdekte speelplaats - Onderhandelingsprocedure zonder voorafgaande bekendmaking;29/08/2019;AE+D bvba;137.683,40
Patrimoine publique / Openbare patrimonium;Marché de travaux - Entreprise annuelle des travaux de toiture - Procédure ouverte;Opdracht voor werken - Jaarlijkse aanneming van dakwerken - Openbare procedure;21/11/2019;"Lot 1/Perceel 1 : DE RAEDT IVAN NV
Lot 2/Perceel 2 :  ZOLDERSE DAKPROJECTEN NV";6.709.450,00
Patrimoine publique / Openbare patrimonium;Remplacement des châssis de fenêtres et porte vitrées de l'école fondamentale de Tivoli - Procédure négociée directe avec publication préalable - Marché de travaux;Opdracht voor werken - Vervanging van de kozijnen en beglaasde deuren van ramen van basisschool Tivoli - Vereenvoudigde onderhandelingsprocedure met bekendmaking;19/12/2019;RADECA nv;200.336,92
Patrimoine publique / Openbare patrimonium;Marché de travaux - Fourniture et placement de faux plafonds - Complexe des Pagodes - Procédure ouverte;Opdracht voor werken - Plaatsing van valse plafonds in alle gebouwen van het Pagoden-complex - Openbare procedure;19/12/2019;ISOTRIM;680.638,27
Patrimoine publique / Openbare patrimonium;Marché de travaux - Restauration de la chapelle des Tours et Taxis - Procédure ouverte;Opdracht voor werken - Restauratie van Tour en Taxiskapel - Openbare procedure;19/12/2019;ALTRI TEMPI nv;782.171,54
Patrimoine publique / Openbare patrimonium;Marché de travaux - Construction d'un auvent sportif en structure mixte métal-bois et couverture textile avec réaménagement d'un terrain multisports et des abords au centre sportif de Neder-Over-Heembeek - Procédure ouverte;Opdracht voor werken Bouw van een sportluifel in een gemengde structuur van metaal en textiel en de herinrichting van een multisportterrein en de omgeving in het sportcentrum Neder-Over-Heembeek - Openbare procedure;19/12/2019;"Lot 1/Perceel 1 : LES ENTREPRISES GÉNÉRALES 
Fernand GILLION et fils
Lot 2/Perceel 2 : LESUCO";1.046.056,58
Patrimoine publique / Openbare patrimonium;Marché de services - Entretien en garantie totale pour une période de cinq ans des installations techniques du Stade Roi Baudouin - PO;Opdracht van diensten - Onderhoud met totale waarborg voor een periode van vijf jaar van de technische installaties van het Koning Boudewijnsstadion - OP;16/05/2019;SA TPF UTILITIES / NV TPF UTILITIES;1.468.099,80
Patrimoine publique / Openbare patrimonium;Marchés de services - Contrat d'entretien pour une période d'un an (du 01/10/2019 au 30/09/2020) des installations de commande à distance, des installations de régulation DCC (Schneider) et des installations de communication des installations de chauffage dans divers bâtiments de la Ville - PNSPP;Opdracht van diensten - Onderhoudscontract voor een periode van één jaar (van 01/10/2019 tot 30/09/2020) voor het  onderhoud van de afstandsbedienings-, de DDC (Schneider) regel- en de communicatieinstallaties van de verwarmingsinstallaties in verschillende gebouwen van de Stad - OZVB;19/09/2019;SA SCHNEIDER ELECTRIC / NV SCHNEIDER ELECTRIC;112.742,45
Patrimoine publique / Openbare patrimonium;Marché de travaux - Ecole primaire des Magnolias – Av des Magnolias, 1 à 1020 Bruxelles – Mise en conformité de l’ensemble des installations électriques basse tension et relighting LED - PO;Opdracht van werken - « Ecole primaire des Magnolias » - Magnolialaan, 1 te 1020 Brussel - In conformiteit stellen van het geheel van de elektrische installaties lage spanning en relighting LED - OP;10/10/2019;SPRL MARCEL WATTIEZ / BVBA MARCEL WATTIEZ;392.120,11
Patrimoine publique / Openbare patrimonium;Marché de travaux - Palais du Midi - Rue Roger van der Weyden, 3 à 1000 Bruxelles - Travaux de déplacement des installations techniques dans les caves en vue de la construction de la nouvelle station de métro « Constitution » - PO;Opdracht van werken - Zuidpaleis – Rogier van der Weydenstraat, 3 te 1000 Brussel – Verplaatsingswerken van de technische installaties in de kelders met het oog op de bouw van het nieuwe metrostation “Grondwet” - OP;7/11/2019;SA SPIE BELGIUM / NV SPIE BELGIUM;2.032.307,43
Patrimoine publique / Openbare patrimonium;Marché de services - Audits énergétiques de 4 bâtiments scolaires - PNSPP;Opdracht van diensten - Energieaudit van 4 schoolgebouwen - OZVB;5/12/2019;SPRL BUREAU D'EXPERTS Ph. DEPLASSE & ASSOCIÉS SPRL / BVBA BUREAU D'EXPERTS Ph. DEPLASSE & ASSOCIÉS;38.720,00
Patrimoine publique / Openbare patrimonium;Marché de services - Contrat pour plusieurs missions de bureau d’études techniques spéciales concernant l’étude et le suivi des travaux pour la rénovation d’installations électriques et/ou HVAC et/ou sanitaires dans des bâtiments scolaires - PNSPP;Opdracht van diensten - Contract voor verschillende opdrachten van studiebureau speciale technieken betreffende de studie en de opvolging van de werken voor de renovatie van elektrische installaties en/of HVAC-installaties en/of sanitaire installaties in schoolgebouwen - OZVB;12/12/2019;SA FLOW TRANSFER INTERNATIONAL / NV FLOW TRANSFER INTERNATIONAL;174.240,00
Patrimoine publique / Openbare patrimonium;Marché de services - Entretien des plantes du système de traitement écologique de l'eau dans trois bassins de fontaines pour une période de 12 mois - PNSPP;Opdracht van werken - Onderhoud van de planten van het ecologische waterbehandelingssysteem in drie fonteinbakken voor een periode van 12 maanden - OZVB;19/12/2019;SA KRINKELS / NV KRINKELS;61.909,84
Patrimoine publique / Openbare patrimonium;Marché de travaux -  Fourniture et Installation de panneaux photovoltaïques sur le toit  de L’Athénée Adolphe Max Boulevard Clovis 40 1000 Bruxelles - PNSPP;Opdracht van wereken - Levering en installatie van fotovoltaïsche panelen op het dak van het  Athenee Adolphe Max , Clovislaan 40 1000 Brussel - OZVB;19/12/2019;Soltis SA;101.392,77
Patrimoine publique / Openbare patrimonium;Marché de travaux -  Fourniture et Installation de panneaux photovoltaïques sur le de l’école fondamentale Emile André 107 rue Haute 1000 Bruxelles  - PNSPP;Opdracht van wereken - Levering en installatie van fotovoltaïsche panelen op het dak van het ecole fondamentale Emile Andre, 107 Hoogstraat 1000 Brussel - OZVB;19/12/2019;Soltis SA;65.476,83
Ressources humaines / Human resources;"Marché à faible montant - Marché public de services ayant pour but la confection, pendant 24 mois, de cartes d'identification personnalisées (""cartes Brucity"") avec mailing y afférent pour l'ensemble du personnel de la Ville de Bruxelles";"Overheidsopdracht van beperkte waarde - Overheidsopdracht voor diensten met het doel, het vervaardingen, gedurende 24 maanden, van gepersonaliseerdekarten(""Brucity"" kaarten) met bijbehorende mailing voor het geheel van het personeel van de stad Brussel";28/11/2019;CARTA+ SA;4.828,32
Ressources humaines / Human resources;Marché à faible montant - Marché public de services à bordereau de prix ayant pour but l’organisation de cours de néerlandais en immersion;Overheidsopdracht van beperkte waarde - Overheidsopdracht voor diensten tegen prijslijst met het doel : organiseren van taalbaden Nederlands.;1/07/2019;Lerian Communications BVBA-VSO;5.040,00
Ressources humaines / Human resources;Marché à faible montant - Marché public de services à bordereau de prix ayant pour but l’organisation de formations sur le thème du e-learning.;Overheidsopdracht van beperkte waarde - Overheidsopdracht voor diensten tegen prijslijst met het doel : organiseren van vormingen op het thema e-learning.;1/10/2020;New DiDaXo SPRL;8.954,00
Finances / Financiën;Marché public de services relatifs au retrait et/ou la livraison de valeurs (billets et/ou monnaies), passé par procédure négociée sans publication préalable conformément à l’article 42 §1 1° a) de la loi du 17/06/2016 relative aux marchés publics (FIN/2019-2021/001-MV);Overheidsopdracht voor diensten betreffende het afhalen en/of de levering van geldwaarden (biljetten en/of munten) via een onderhandelingsprocedure zonder voorafgaande bekendmaking, in toepassing van het artikel 42 §1, 1°, a) van de wet van 17/06/2016 betreffende de overheidsopdrachten (FIN/2019-2021/001-MV);6/12/2018;G4S Cash Solutions;11.046,21
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix et en 2 lots ayant pour but la livraison de voitures compactes et de voitures utilitaires pour la cellule Parc Automobile du département Travaux de Voirie conclu par procédure négociée directe avec publicité préalable en application de l'article 41, § 1er, 1°, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010090).;Overheidsopdracht voor leveringen tegen prijslijst en in 2 percelen met het doel de levering van compacte wagens en bestelwagens voor de cel Autopark van het departement Wegeniswerken afgesloten via vereenvoudige onderhandelingsprocedure met voorafgaande bekendmaking overeenkomstig artikel 41, § 1, 1°, van de wet van 17/06/2016 (bestek nr CDA/010090).;10/01/19;Vanspringel Automobiles SA - rue Américain 12-14 - 1060 Bruxelles;196.927,01
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures ayant pour but la fourniture, le montage, le raccordement et l'installation de meubles de salle de bain pour la cellule Petite Enfance du département Démographie conclu par procédure négociée sans publicité préalable en application de  l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010254).;Overheidsopdracht voor leveringen met het doel de levering, montage, aansluiting en installatie van badkamermeubels voor de cel Het Jonge Kind van het departement Demografie afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenskomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010254).;10/01/19;Emil Palm SA - Morsheck 2 - 4760 Bullange;37.281,04
Centrale d'Achats / Aankoopcentrale;Marché public de services ayant pour but le nettoyage, pendant 24 mois, des locaux professionnels de l'ASBL Bravvo conclu par procédure négociée sans publicité préalable en application de  l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010145).;Overheidsopdracht voor diensten met het doel de schoonmaak, gedurende 24 maanden, van de bedrijfsruimte van de VZW Bravvo afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenskomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010145).;24/01/19;Cemre SPRL - avenue Champs de Repos 60 - 1140 Bruxelles;127.701,68
Centrale d'Achats / Aankoopcentrale;Marché public de services reconductible ayant pour but l'entretien préventif et curatif, pendant 12 mois, de 354 potelets manuellement rétractables pour le département Travaux de Voirie conclu par procédure négociée  sans publicité en application de l'article 26, § 1er, 1°, f, de la loi du 15/06/2006 (cahier spécial des charges CDA/008520).- Prolongation.;Verlengbare overheidsopdracht voor diensten met het doel het preventief en curatief onderhoud, gedurende 12 maanden, van 354 handmatig inzinkbare paaltjes voor het departement Wegeniswerken afgesloten via onderhandelingsprocedure zonder bekendmaking overeenkomstig artikel 26, § 1, 1°, f, van de wet van 15/06/2006 (bestek nr CDA/008520).-  Verlenging.;24/01/19;Krautli nv - Industrialaan 15 - Zone Maalbeek - 1702 Groot-Bijgaarden;93.965,48
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures reconductible à bordereau de prix ayant pour but la fourniture, pendant 12 mois, d'outillage de peinture, de revêtements muraux et de sol, et d'accessoires de peinture et de tapissage pour divers départements conclu par procédure négociée sans publicité préalable en application de  l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/009508).- Reconduction.;Verlengbare overheidsopdracht voor leveringen tegen prijslijst het doel de levering, gedurende 12 maanden, van verfgereedschap, vloer- en muurbekledingen, en toebehoren voor verven en behangen voor verschillende departementen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenskomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/009508).- Verlenging.;2/05/19;PPG Coatings SPRL - chaussée d'Haecht 1465 - 1130 Bruxelles + Roels R & A SA - rue Gallait 52/56 - 1030 Bruxelles;50.000,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures ayant pour but la location et l'entretien en omnium, pendant 36 mois, de 2 machines à affranchir pour le département Organisation conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17 juin 2016 (cahier des charges n°  CDA/010415).;Overheidsopdracht voor leveringen met het doel de huur en het onderhoud in omnium, gedurende 36 maanden, van 2 frankeermachines voor het departement Organisatie afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010415).;20/06/19;Neopost nv - Ikaroslaan 37 - 1930 Zaventem;36.410,93
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 60 mois, de papiers et cartons durables pour divers départements conclu par procédure ouverte en application de l'article 36 de la loi du 17/06/2016 (cahier des charges n° CDA/010051).;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 60 maanden, van duurzaam papier en karton voor verschillende departementen overeenkomstig artikel 36 van de wet van 17/06/2016 (bestek nr CDA/010051).;11/07/19;Igepa Belux nv - Nijverheidslaan 4 - 9880 Aalter;1.802.290,37
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but le contrôle périodique, pendant 48 mois, des véhicules de la Ville de Bruxelles pour le département Travaux de Voirie conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010418).;Overheidsopdracht voor diensten tegen prijslijst met het doel de periodieke controle, gedurende 48 maanden, van de voertuigen van de Stad Brussel voor het departement Wegeniswerken afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010418).;11/07/19;Auto Contrôle Technique SA - rue Colonel Bourg 118 - 1140 Bruxelles;90.000,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix, reconductible et en 3 lots ayant pour but la fourniture, pendant 12 mois, de jeux, jouets et matériel de psychomotricité, et de matériel didactique pour divers départements conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010463).;Verlengbare overheidsopdracht voor leveringen tegen prijslijst en in 3 percelen met het doel de levering, gedurende 12 maanden, van spellen, speelgoed en materiaal voor psychomotoriek, en van didactisch materiaal voor verschillende departementen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010463).;5/09/19;Wesco Cammaert - Jean-Baptist Vinkstraat 12 - 3070 Kortenberg;60.000,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 24 mois, de publications périodiques pour différents établissements scolaires pour le département Instruction Publique conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, d, iii, de la loi du 17/06/2016 (cahier des charges n°  CDA/010845).;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 24 maanden, van tijdschriften bestemd voor de verschillende scholen van het departement Openbaar Onderwijs  afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, d,iii, van de wet van 17/06/2016 (bestek nr CDA/010845).;19/09/19;Partner Press - route de Lennik 451 - 1070 Bruxelles;150.000,00
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but, pendant 12 mois, la capture, l'enregistrement et le transfert sécurise d'images dans le cadre de la vidéosurveillance des incivilités en matière de propreté dans l'espace public pour la cellule Propreté Publique du département Travaux de Voirie en vue de contribuer à l'application des règlements communaux en la matière, conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010634).;Overheidsopdracht voor diensten tegen prijslijst met het doel gedurende 12 maanden, het maken, opnemen en beveiligd overmaken van beelden in het kader van videobewaking van overlast inzake netheid in de openbare ruimte voor de cel Openbare Reinheid van het departement Wegeniswerken met het oog op bij te dragen tot de toepassing van gemeenteverordeningen inzake, afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010634).;19/09/19;One Telecom SA - rue du Manoir 16 - 6313 Beaufort - Luxembourg;119.790,00
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but la distribution, pendant 24 mois, de divers supports de communication pour différents départements de la Ville de Bruxelles conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n° CDA/010883).;Overheidsopdracht voor diensten tegen prijslijst met het doel de verdeling, gedurende 24 maanden, van gevarieerde communicatiedragers voor verschillende departementen van de Stad Brussel afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010883).;10/10/19;Groupe Foes - Les Ateliers Réunis ASBL - rue Victor Rauter 132 - 1070 Bruxelles;79.956,80
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 12 mois, d'outillage à main électrique, électropneumatique et sans fil ainsi que ses accessoires pour divers départements conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010864).;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 12 maanden, van elektrisch, elektropneumatisch en draadloos handgereedschap en zijn toebehoren voor verschillende departementen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010864).;24/10/19;International Tools Service SA - rue du Printemps 39-43 - 1050 Bruxelles;100.000,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 12 mois, d'électroménager à usage professionnel pour divers départements conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010266).;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 12 maanden, van elektrische huishoudapparatuur voor beroepsgebruik voor verschillende departementen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010266).;7/11/19;Etablissement Steylemans SA - bld Emile Bockstael 412 - 1020 Bruxelles;115.755,86
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but le traitement, pendant 48 mois, de déchets acheminés dans une installation de tri ainsi que le transport des déchets traités vers différentes installations spécialisées dans le recyclage, vers l'installation d'incinération de la Région de Bruxelles-Capitale ou vers un (des) terrain(s) de déversage pour le département Travaux de Voirie conclu par procédure ouverte en application de l'article 36 de la loi du 17/06/2016 (cahier des charges n° CDA/010515).;Overheidsopdracht voor diensten tegen prijslijst met het doel de verwerking, gedurende 48 maanden, van aangevoerd afval in een sorteerinrichting en het vervoer van het verwerkt afval naar verschillende gespecialiseerde recyclage-inrichtingen, naar de verbrandingsoven van het Brussels Hoofdstedelijk Gewest of naar (een) stortterrein(en) voor departement Wegeniswerken afgesloten door een openbareprocedure overeenkomstig artikel 36 van de wet van 17/06/2016 (bestek nr CDA/010515).;7/11/19;G & A De Meuter - Assesteenweg 117 A/8 - 1740 Ternat;8.188.675,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix et en 3 lots ayant pour but la fourniture, pendant 60 mois, de vêtements de travail entrant dans le cadre du relooking pour divers départements conclu par procédure négociée sans publication en application de l'article 26, § 1er, 1°, a, de la loi du 15/06/2006 (cahier des charges n°  CDA/007408).- Commandes supplémentaires.;Overheidsopdracht voor leveringen tegen prijslijst en met 3 percelen met het doel de levering, gedurende 60 maanden, van werkkledij in het kader van de relooking voor verschillende departementen afgesloten via onderhandelingsprocedure zonder  bekendmaking overeenkomstig artikel 26, § 1, 1°, a, van de wet van 15/06/2006 (bestek nr CDA/007408).- Bijkomende bestellingen.;28/11/19;Decca Sport Group nv - Bruchtweg 7 - 9890 Gavere;40.000,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix et en 5 lots ayant pour but la fourniture de consommables en électricité pour cinq établissements du département Instruction Publique conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010738).;Overheidsopdracht voor leveringen tegen prijslijst en in 5 percelen met het doel de levering van verbruiksgoederen in elektriciteit voor vijf instellingen van het departement Openbaar Onderwijs afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010738).;28/11/19;Rexel Belgium Sa - rue de Tenbosch 120 - 1050 Bruxelles;57.591,30
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture d'aspirateurs à déchets urbains électriques pour le département Travaux de Voirie et la reprise de balayeuses déclassées conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010952).;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering van elektrische straatafvalzuigers voor het departement Wegeniswerken en de overname van afgeschreven straatafvalzuigers afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010952).;28/11/19;Gluton Cleaning Machines Division of Lange Christian SA - rue du Progrès 22 - 5300 Andenne;154.874,48
Centrale d'Achats / Aankoopcentrale;"Marché public de services à bordereau de prix ayant pour but l'organisation, en 2020 et 2021, de réceptions traiteur VIP dans l'espace ""Made in B"" du stade Roi Baudouin à l'occasion des grands événements pour l'ASBL Prosport Bruxelles conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010979).";"Overheidsopdracht voor diensten tegen prijslijst met het doel de organisatie, in 2020 en 2021, van traiteur VIP recepties in de ruimte ""Made in B"" van het Koning Bouwdewijnstadion ter gelegenheid van grote evenementen voor de VZW Prosport Brussel afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010979).";5/12/19;Traiteur Duchateau SA - Font Saint-Landry 5 - 1120 Bruxelles;79.788,80
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures ayant pour but la fourniture de camions avec benne basculante pour la cellule Logistique du département Travaux de Voirie conclu par procédure négociée directe avec publication préalable en application de l'article 41, § 1er, 1° de la loi du 17/06/2016 (cahier des charges n°  CDA/010615).;Overheidsopdracht voor leveringen met het doel de levering van vrachtwagens met kiepbak voor de cel Logistiek van het departement Wegeniswerken afgesloten via vereenvoudigde onderhandelingsprocedure met  voorafgaande bekendmaking overeenkomstig artikel 41, § 1, 1° van de wet van 17/06/2016 (bestek nr CDA/010615).;5/12/19;Renault V.I. Belgique SA - avenue du Hunderenveld 10 - 1082 Bruxelles;289.722,40
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix et en deux lots ayant pour but la fourniture, pendant 14 mois, de matériel audiovisuels et multimédia professionnel et semi-professionnel pour divers départements conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/009734).;Overheidsopdracht voor leveringen tegen prijslijst en in 2 percelen met het doel de levering, gedurende 14 maanden, van audivisuele en multimedia materiaal voor verschillenden departementen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/009734).;12/12/19;PCH SPRL - rue du Midi 154 - 1000 Bruxelles + Fotoguy SPRL - rue de Flandre 43 - 1000 Bruxelles;141.587,21
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures ayant pour but la fourniture d'un camion équipé d'un système de levage de conteneurs et d'une installation d'arrosage pour la cellule Zones Vertes du département Travaux de Voirie conclu par procédure négociée directe avec publication préalable en application de l'article 41, § 1er, 1° de la loi du 17/06/2016 (cahier des charges n°  CDA/010856).;Overheidsopdracht voor leveringen met het doel de levering van een vrachtwagen uitgerust met een containerhefsysteem en een sproei-installatie voor de cel Groene Zones van het departement Wegeniswerken afgesloten via vereenvoudigde onderhandelingsprocedure met  voorafgaande bekendmaking overeenkomstig artikel 41, § 1, 1° van de wet van 17/06/2016 (bestek nr CDA/010856).;12/12/19;Renault V.I. Belgique SA - avenue du Hunderenveld 10 - 1082 Bruxelles;186.993,40
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures ayant pour but la fourniture, le placement et la mise en service d'une machines de gravure laser pour imprimante pour le CTA infographie et industries Graphiques du département Instruction Publique conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010993).;"Overheidsopdracht voor leveringen met het doel de levering, plaatsing en indienstelling van een laser graveermachine voor de ""CTA infographie et Industries Graphiques"" van het departement Openbaar Onderwijs afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010993).";12/12/19;Trotec Laser bv - Tolstraat 21A - 7482 DC Haaksbergen - Nederland;36.519,75
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture de camionnettes équipées d'une installation haute pression pour la cellule Propreté Publique du département Travaux de Voirie conclu par procédure négociée directe avec publication préalable en application de l'article 41, § 1er, 1° de la loi du 17/06/2016 (cahier des charges n°  CDA/010839).;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering van bestelwagens uitgerust met een hogedrukinstallatie voor de cel Openbare Reinheid van het departement Wegeniswerken afgesloten via vereenvoudigde onderhandelingsprocedure met  voorafgaande bekendmaking overeenkomstig artikel 41, § 1, 1° van de wet van 17/06/2016 (bestek nr CDA/010839).;12/12/19;Brussels Truck Center bvba - Rijshout - 1702 Groot-Bijgaarden;248.050,00
Travaux de Voirie / Wegeniswerken;Marché public de travaux, conclu par appel d'offre général (loi du 24/12/1993), ayant pour objet la construction d’un bâtiment passif servant de dépôt pour une section du service de la Propreté Publique, situé rue du Gaz, 28 à 1020 Laeken (dossier TV/2012/103/PP).- Dépense supplémentaire.;Overheidsopdracht voor werken, gegund via algemene offerteaanvraag (wet van 24/12/1993), met als voorwerp de constructie van een passiefgebouw dienend als stelplaats voor een sectie van de dienst Openbare Reinheid, Gasstraat 28 te 1020 Laken (dossier TV/2012/103/PP).- Meeruitgave.;29/08/2019;Balcaen et Fils SPRL, chaussée de Jette 396, 1081 Bruxelles;2.050,01
